true_persona,age,monthly_income,savings_rate,pct_spend_discretionary,app_opens_per_week,avg_transaction_value,transactions_per_month,investment_balance,credit_utilization,months_active,monthly_spend
High-Income Investor,38,12830.0,0.3,0.435,4.8,220.9,17,119650.0,0.13,30,9450.0
Young Digital Spender,26,3420.0,0.032,0.494,13.1,27.29,40,830.0,0.182,39,3610.0
High-Income Investor,57,8920.0,0.235,0.428,8.8,123.02,25,83550.0,0.144,44,6840.0
Budget-Conscious Saver,41,6270.0,0.184,0.209,9.7,25.46,33,1140.0,0.054,8,5170.0
Budget-Conscious Saver,28,3010.0,0.314,0.237,5.1,29.63,26,6470.0,0.221,21,2350.0
High-Income Investor,45,11510.0,0.326,0.245,5.0,67.9,19,83610.0,0.197,1,6800.0
Young Digital Spender,22,4350.0,0.043,0.668,14.3,27.56,64,560.0,0.308,14,3870.0
Young Digital Spender,21,3540.0,-0.008,0.558,17.5,39.03,63,480.0,0.412,33,3450.0
Credit-Reliant Household,35,4670.0,-0.066,0.533,9.2,35.56,36,170.0,0.615,38,4640.0
Budget-Conscious Saver,35,3090.0,0.328,0.21,3.5,26.82,26,1370.0,0.245,6,1810.0
Budget-Conscious Saver,26,3510.0,0.302,0.294,5.2,25.54,25,1310.0,0.099,51,2380.0
Credit-Reliant Household,33,3140.0,0.033,0.37,8.4,40.86,19,30.0,0.679,7,2870.0
High-Income Investor,53,16660.0,0.365,0.338,5.2,146.51,20,115300.0,0.085,4,10090.0
Budget-Conscious Saver,37,5290.0,0.235,0.156,6.2,67.7,14,1740.0,0.248,25,4350.0
Budget-Conscious Saver,34,4940.0,0.288,0.16,3.8,23.57,20,3900.0,0.129,12,3620.0
High-Income Investor,35,14820.0,0.312,0.38,3.1,76.35,20,48520.0,0.058,54,10300.0
Young Digital Spender,20,2280.0,0.023,0.498,15.2,51.04,39,440.0,0.467,59,2000.0
Steady Middle,30,5180.0,0.154,0.345,10.3,44.93,37,2040.0,0.372,13,4060.0
Steady Middle,48,5430.0,0.171,0.364,7.8,25.99,20,6990.0,0.383,33,4160.0
Budget-Conscious Saver,41,4220.0,0.296,0.253,8.9,76.8,22,3070.0,0.125,13,3040.0
Credit-Reliant Household,50,4840.0,0.092,0.305,9.3,34.67,44,70.0,0.866,13,4340.0
Credit-Reliant Household,40,4790.0,-0.035,0.355,6.2,47.99,42,430.0,0.668,44,4820.0
Steady Middle,36,7010.0,0.052,0.44,6.2,31.82,32,3140.0,0.167,40,6080.0
Budget-Conscious Saver,35,4050.0,0.254,0.199,7.7,40.34,33,3620.0,0.257,11,3230.0
Budget-Conscious Saver,35,4080.0,0.331,0.206,6.9,47.55,14,1130.0,0.189,59,2540.0
Credit-Reliant Household,51,3110.0,-0.012,0.366,9.6,47.32,31,0.0,0.878,52,3100.0
Budget-Conscious Saver,36,6410.0,0.277,0.311,11.0,36.75,32,2070.0,0.143,41,5170.0
Steady Middle,37,7310.0,0.223,0.39,7.1,72.51,29,7320.0,0.248,43,5840.0
Young Digital Spender,24,2210.0,0.119,0.716,13.6,52.6,48,590.0,0.313,11,2180.0
Young Digital Spender,21,3210.0,0.041,0.569,17.3,40.6,57,150.0,0.37,5,3220.0
High-Income Investor,56,13440.0,0.354,0.198,4.4,211.82,18,66480.0,0.079,23,7670.0
Credit-Reliant Household,29,2710.0,0.002,0.315,8.6,50.65,28,70.0,0.709,1,2390.0
Credit-Reliant Household,41,3240.0,-0.046,0.382,7.6,46.06,36,310.0,0.837,17,3560.0
Steady Middle,40,7630.0,0.08,0.213,5.3,53.13,30,11440.0,0.253,32,7020.0
High-Income Investor,53,13670.0,0.255,0.363,4.4,72.96,27,60690.0,0.061,35,9130.0
Steady Middle,28,5650.0,0.07,0.42,5.4,37.6,20,5810.0,0.216,53,5450.0
Credit-Reliant Household,50,2620.0,0.038,0.495,7.4,42.17,37,140.0,0.563,41,2740.0
Steady Middle,38,4290.0,0.076,0.408,11.7,47.06,20,6700.0,0.195,52,4380.0
Young Digital Spender,21,4310.0,0.033,0.459,13.0,34.81,40,170.0,0.402,26,4590.0
Young Digital Spender,27,3900.0,0.026,0.524,25.9,47.06,49,370.0,0.412,37,3860.0
Budget-Conscious Saver,37,4020.0,0.201,0.089,4.6,20.39,32,1970.0,0.21,31,3500.0
High-Income Investor,55,9610.0,0.278,0.369,5.6,147.21,22,20490.0,0.019,5,6410.0
Budget-Conscious Saver,37,5890.0,0.346,0.165,6.9,77.95,28,3850.0,0.265,42,3840.0
Steady Middle,46,4400.0,0.045,0.365,10.9,34.19,31,9830.0,0.232,58,4390.0
Budget-Conscious Saver,41,5740.0,0.367,0.202,7.8,46.97,18,5610.0,0.198,58,4170.0
Budget-Conscious Saver,41,5980.0,0.3,0.206,5.8,77.42,29,1570.0,0.236,51,3960.0
Budget-Conscious Saver,41,4180.0,0.338,0.199,5.4,49.37,22,2960.0,0.204,51,2970.0
Budget-Conscious Saver,30,4570.0,0.308,0.177,6.7,27.66,34,1550.0,0.32,6,3400.0
Steady Middle,31,6050.0,0.15,0.349,6.2,57.01,32,2580.0,0.406,42,4890.0
High-Income Investor,38,12460.0,0.234,0.28,5.6,172.98,12,59190.0,0.102,52,10930.0
High-Income Investor,51,14480.0,0.349,0.547,9.5,125.23,24,95590.0,0.076,48,8020.0
Young Digital Spender,23,4280.0,0.052,0.676,15.6,51.29,57,270.0,0.508,49,4200.0
Steady Middle,46,7870.0,0.16,0.343,11.7,80.47,32,9660.0,0.369,37,7010.0
Young Digital Spender,21,2870.0,0.044,0.45,22.2,60.72,64,130.0,0.351,9,3080.0
Young Digital Spender,26,3010.0,0.043,0.639,15.1,36.17,55,600.0,0.361,50,2860.0
Credit-Reliant Household,31,3150.0,0.03,0.383,7.4,36.25,32,220.0,0.735,10,2870.0
Young Digital Spender,22,3410.0,0.1,0.56,27.2,47.51,56,70.0,0.365,18,2900.0
Young Digital Spender,25,3830.0,0.015,0.515,26.3,63.08,64,20.0,0.279,12,4230.0
Steady Middle,29,7200.0,0.117,0.471,4.1,31.86,39,1480.0,0.302,5,6610.0
Budget-Conscious Saver,33,6180.0,0.316,0.244,7.2,74.69,20,2220.0,0.146,4,4090.0
Budget-Conscious Saver,39,6390.0,0.314,0.184,10.7,14.32,18,550.0,0.124,29,3940.0
Budget-Conscious Saver,34,4570.0,0.22,0.308,6.8,50.15,24,3070.0,0.222,11,3860.0
Budget-Conscious Saver,30,4670.0,0.276,0.324,5.1,60.51,25,2900.0,0.174,45,3800.0
Credit-Reliant Household,29,3870.0,0.039,0.444,14.6,39.95,33,140.0,0.598,3,3660.0
High-Income Investor,50,17550.0,0.416,0.412,1.9,152.98,14,75700.0,0.142,43,9370.0
Steady Middle,45,6140.0,0.089,0.371,8.7,53.69,34,8880.0,0.355,3,6420.0
Young Digital Spender,27,2610.0,0.002,0.499,20.6,26.07,60,10.0,0.242,38,2750.0
Young Digital Spender,22,3710.0,0.076,0.646,12.2,32.47,35,50.0,0.504,39,3780.0
Young Digital Spender,25,4360.0,0.057,0.606,24.7,41.96,70,480.0,0.459,48,4020.0
Young Digital Spender,24,2630.0,0.014,0.715,26.0,44.22,80,320.0,0.272,7,2630.0
Steady Middle,32,5010.0,0.135,0.251,8.4,57.87,42,1460.0,0.445,15,4480.0
Young Digital Spender,22,2580.0,0.017,0.641,25.1,51.9,45,170.0,0.484,26,2330.0
Credit-Reliant Household,33,4170.0,-0.016,0.285,5.3,48.6,33,30.0,0.854,10,3680.0
Steady Middle,35,5180.0,0.142,0.371,6.3,46.28,35,7780.0,0.187,24,3940.0
Budget-Conscious Saver,28,4770.0,0.191,0.231,7.1,54.42,27,1700.0,0.065,16,3690.0
Budget-Conscious Saver,39,3190.0,0.243,0.303,7.7,31.14,25,2130.0,0.21,58,2740.0
Credit-Reliant Household,31,3080.0,-0.02,0.422,10.4,59.6,20,120.0,1.0,37,3110.0
Credit-Reliant Household,44,2700.0,0.032,0.372,13.1,39.58,38,320.0,0.827,2,2730.0
Steady Middle,45,5300.0,0.024,0.32,7.2,37.33,36,1360.0,0.3,39,5060.0
Credit-Reliant Household,54,4140.0,0.003,0.509,11.0,24.24,20,90.0,0.795,22,4740.0
Steady Middle,28,7470.0,0.063,0.345,10.5,95.43,24,8830.0,0.345,7,6770.0
Steady Middle,37,7670.0,0.091,0.316,9.6,103.47,30,5820.0,0.307,38,7480.0
Credit-Reliant Household,32,3410.0,-0.079,0.415,4.2,36.79,36,500.0,0.602,15,3360.0
Credit-Reliant Household,41,4970.0,-0.001,0.537,9.1,13.35,30,210.0,0.742,52,5570.0
Credit-Reliant Household,50,4370.0,-0.017,0.495,6.1,13.09,35,60.0,0.713,25,4130.0
Steady Middle,39,7480.0,0.124,0.365,3.7,62.38,31,2650.0,0.312,50,6040.0
Budget-Conscious Saver,25,6010.0,0.19,0.156,3.5,11.23,22,680.0,0.147,17,4290.0
Budget-Conscious Saver,29,3020.0,0.327,0.221,3.1,48.62,17,510.0,0.104,57,2050.0
Steady Middle,32,7930.0,0.167,0.266,6.6,63.05,28,3130.0,0.293,56,6460.0
Young Digital Spender,20,2820.0,0.077,0.527,10.8,35.78,47,290.0,0.398,13,2430.0
Steady Middle,49,7160.0,0.139,0.389,4.5,70.32,30,2900.0,0.269,50,6360.0
Credit-Reliant Household,45,4840.0,0.003,0.437,6.3,50.16,34,10.0,0.582,27,4630.0
Young Digital Spender,23,3150.0,0.075,0.708,17.7,30.88,46,270.0,0.377,4,3310.0
Steady Middle,37,5280.0,0.081,0.269,5.1,42.82,42,10790.0,0.398,10,4910.0
High-Income Investor,39,13940.0,0.312,0.453,5.5,208.82,21,220180.0,0.129,36,10640.0
High-Income Investor,57,17790.0,0.311,0.327,5.2,160.24,26,70690.0,0.054,16,13850.0
Steady Middle,33,7060.0,0.087,0.423,6.5,74.27,18,7890.0,0.293,12,7280.0
Young Digital Spender,24,3180.0,0.05,0.517,20.3,39.26,69,230.0,0.348,43,3150.0
Steady Middle,34,6290.0,0.145,0.331,8.4,85.24,25,9820.0,0.348,58,5470.0
Budget-Conscious Saver,25,4830.0,0.305,0.204,9.4,64.19,34,640.0,0.202,42,3700.0
Young Digital Spender,25,3650.0,0.05,0.472,30.7,42.08,43,360.0,0.252,26,3390.0
High-Income Investor,44,15820.0,0.366,0.441,3.0,158.34,21,79580.0,0.0,35,8770.0
Credit-Reliant Household,38,3250.0,0.001,0.432,8.2,32.23,29,40.0,0.672,48,2970.0
Budget-Conscious Saver,39,4970.0,0.226,0.184,10.1,34.4,33,1540.0,0.2,21,3500.0
Credit-Reliant Household,41,3510.0,0.013,0.337,7.4,59.36,26,350.0,0.79,45,3100.0
Credit-Reliant Household,44,2930.0,-0.055,0.465,10.8,35.42,28,460.0,0.758,36,2740.0
Young Digital Spender,22,3410.0,0.048,0.573,22.8,53.58,67,280.0,0.362,25,3280.0
Credit-Reliant Household,43,4380.0,0.014,0.292,13.5,15.36,24,60.0,0.877,16,3790.0
Steady Middle,42,6710.0,0.165,0.42,12.2,72.56,31,8110.0,0.312,36,4940.0
Credit-Reliant Household,48,4110.0,-0.025,0.335,12.1,49.76,42,20.0,0.694,47,4120.0
Steady Middle,32,4980.0,0.062,0.311,6.4,82.85,15,1700.0,0.425,38,5360.0
Credit-Reliant Household,29,4820.0,-0.032,0.297,8.7,51.61,19,90.0,0.722,30,4460.0
Credit-Reliant Household,30,3220.0,0.01,0.474,4.0,23.75,28,280.0,0.744,57,3470.0
Young Digital Spender,21,2960.0,0.12,0.397,27.1,46.01,62,120.0,0.201,52,2610.0
Budget-Conscious Saver,26,5950.0,0.272,0.149,1.8,78.12,21,1110.0,0.227,42,4170.0
Credit-Reliant Household,29,3580.0,0.024,0.271,10.4,48.1,38,40.0,0.924,5,3720.0
Credit-Reliant Household,40,2780.0,-0.047,0.388,8.4,49.22,31,240.0,0.785,1,2610.0
High-Income Investor,49,11310.0,0.24,0.432,3.1,96.68,14,55280.0,0.166,52,9570.0
Steady Middle,35,6700.0,0.1,0.315,10.7,40.16,22,7910.0,0.272,4,5810.0
Young Digital Spender,21,2710.0,0.048,0.54,32.0,37.32,52,400.0,0.221,45,2300.0
Steady Middle,36,5890.0,0.181,0.393,7.7,74.2,40,7190.0,0.3,36,5490.0
Credit-Reliant Household,32,2840.0,0.005,0.394,6.5,43.69,45,180.0,0.77,12,2470.0
Young Digital Spender,23,4130.0,0.044,0.53,29.3,39.38,37,280.0,0.393,25,3370.0
Young Digital Spender,24,2590.0,0.062,0.734,13.1,58.18,39,490.0,0.255,39,2330.0
Steady Middle,37,6180.0,0.149,0.331,3.7,43.76,25,9220.0,0.192,37,4570.0
Steady Middle,44,6250.0,0.127,0.308,8.4,40.24,32,2680.0,0.384,24,4760.0
Steady Middle,29,6540.0,0.136,0.364,9.4,78.41,22,15130.0,0.342,56,5450.0
Credit-Reliant Household,40,3350.0,0.025,0.478,11.7,37.25,38,60.0,0.537,57,3270.0
Credit-Reliant Household,38,4450.0,-0.022,0.462,7.7,34.91,46,30.0,0.792,45,4240.0
Budget-Conscious Saver,27,5620.0,0.217,0.24,9.6,73.71,26,4700.0,0.114,37,4400.0
Credit-Reliant Household,40,4450.0,-0.035,0.351,11.5,23.71,19,30.0,0.579,26,4940.0
Credit-Reliant Household,47,3780.0,-0.011,0.378,6.7,32.73,49,90.0,0.673,34,4280.0
Steady Middle,29,5740.0,0.169,0.359,9.0,70.73,25,16560.0,0.28,32,5140.0
High-Income Investor,56,13220.0,0.189,0.227,3.0,161.17,19,24300.0,0.08,21,11650.0
Credit-Reliant Household,31,4910.0,0.003,0.349,13.3,42.3,46,10.0,0.507,51,5180.0
Young Digital Spender,21,3840.0,0.083,0.505,29.0,44.91,62,600.0,0.153,21,3570.0
Budget-Conscious Saver,37,3160.0,0.171,0.211,8.7,52.83,21,6270.0,0.086,24,2970.0
Steady Middle,26,5290.0,0.095,0.339,6.8,44.71,27,11200.0,0.296,9,5350.0
High-Income Investor,44,12210.0,0.278,0.35,8.0,122.71,15,45340.0,0.05,1,7880.0
Credit-Reliant Household,41,3670.0,0.046,0.428,7.3,44.29,21,70.0,0.818,37,3490.0
Young Digital Spender,25,3330.0,-0.023,0.535,16.4,64.46,69,390.0,0.439,51,3290.0
Budget-Conscious Saver,26,5600.0,0.288,0.238,9.1,51.82,28,2060.0,0.162,42,3860.0
High-Income Investor,45,10310.0,0.189,0.331,7.2,84.75,21,100510.0,0.017,31,7880.0
Budget-Conscious Saver,35,4450.0,0.142,0.224,8.8,41.9,21,7520.0,0.224,23,4180.0
Young Digital Spender,20,2690.0,0.032,0.471,19.6,31.44,56,110.0,0.321,33,2730.0
Steady Middle,41,7950.0,0.106,0.4,5.8,59.93,36,7780.0,0.177,52,7500.0
Credit-Reliant Household,29,4910.0,-0.03,0.466,6.1,63.1,30,210.0,0.784,50,4990.0
High-Income Investor,47,17550.0,0.212,0.326,3.0,81.34,23,51550.0,0.0,4,12020.0
Steady Middle,37,5820.0,0.16,0.345,9.0,86.19,30,7140.0,0.293,7,5360.0
Credit-Reliant Household,36,3350.0,-0.023,0.256,14.3,43.49,31,190.0,0.619,43,3210.0
Steady Middle,41,7220.0,0.064,0.373,7.3,92.64,32,3310.0,0.206,59,6570.0
High-Income Investor,56,13540.0,0.269,0.337,9.0,194.49,18,187710.0,0.127,17,10870.0
Steady Middle,45,4100.0,0.189,0.301,7.7,92.98,22,2060.0,0.342,44,2940.0
Steady Middle,39,4720.0,0.161,0.418,5.8,63.74,43,9860.0,0.305,50,4450.0
Steady Middle,48,4890.0,0.076,0.319,14.6,95.4,35,4020.0,0.417,38,3880.0
Young Digital Spender,27,2780.0,0.027,0.628,19.9,18.6,42,50.0,0.375,43,2720.0
Young Digital Spender,23,2830.0,0.035,0.421,27.9,54.33,39,370.0,0.459,56,2790.0
High-Income Investor,46,15270.0,0.328,0.334,5.5,132.48,13,69770.0,0.06,30,9970.0
Budget-Conscious Saver,32,6050.0,0.361,0.065,6.3,49.02,40,2790.0,0.129,23,4090.0
Steady Middle,41,4630.0,0.205,0.242,10.1,49.37,20,10900.0,0.268,35,3440.0
Steady Middle,30,5400.0,0.081,0.495,3.5,79.42,41,8240.0,0.328,38,5570.0
Budget-Conscious Saver,25,3070.0,0.242,0.194,8.5,65.89,23,1880.0,0.139,23,2350.0
Budget-Conscious Saver,31,3400.0,0.312,0.297,7.9,35.65,26,2410.0,0.215,52,2670.0
Steady Middle,42,4420.0,0.169,0.315,5.5,32.6,25,630.0,0.353,15,4070.0
Budget-Conscious Saver,41,4690.0,0.287,0.136,3.8,53.48,16,5220.0,0.194,27,3210.0
Steady Middle,49,7600.0,0.048,0.235,7.6,73.22,24,12670.0,0.297,45,7880.0
Budget-Conscious Saver,41,4530.0,0.328,0.384,1.5,62.99,26,3050.0,0.108,4,2980.0
Budget-Conscious Saver,37,4240.0,0.253,0.14,9.4,54.7,25,1580.0,0.054,44,3230.0
Budget-Conscious Saver,31,5630.0,0.29,0.189,9.3,27.68,16,1480.0,0.154,34,4220.0
Steady Middle,36,7480.0,0.105,0.329,6.3,88.59,40,3910.0,0.346,31,7310.0
Budget-Conscious Saver,38,3090.0,0.188,0.141,4.6,72.17,24,3820.0,0.123,28,2220.0
High-Income Investor,49,11560.0,0.287,0.331,5.7,124.06,19,64410.0,0.025,51,7700.0
Credit-Reliant Household,52,3290.0,0.062,0.48,10.1,32.94,44,40.0,0.845,37,2990.0
Credit-Reliant Household,54,4440.0,0.037,0.43,8.4,28.25,21,240.0,0.691,35,4760.0
Budget-Conscious Saver,35,3290.0,0.266,0.235,4.2,21.96,9,1190.0,0.049,10,2330.0
Credit-Reliant Household,34,3830.0,-0.052,0.434,12.7,16.01,25,170.0,0.958,53,4320.0
Young Digital Spender,25,3500.0,0.147,0.421,25.5,48.69,68,460.0,0.501,10,3260.0
Credit-Reliant Household,47,3140.0,-0.025,0.501,6.0,37.54,39,70.0,0.582,50,3580.0
Budget-Conscious Saver,26,5630.0,0.293,0.214,8.6,55.42,26,5170.0,0.114,25,4110.0
High-Income Investor,45,17530.0,0.338,0.477,8.0,121.41,22,29470.0,0.077,56,10150.0
Budget-Conscious Saver,30,4100.0,0.302,0.224,6.8,51.02,21,3620.0,0.075,8,2470.0
Steady Middle,26,4450.0,0.076,0.323,3.3,52.45,28,7580.0,0.275,52,4140.0
Budget-Conscious Saver,26,3940.0,0.205,0.191,8.1,50.26,29,3000.0,0.113,27,3500.0
Steady Middle,30,5220.0,0.202,0.299,6.0,84.9,39,1050.0,0.258,15,4190.0
Credit-Reliant Household,49,4570.0,-0.031,0.431,8.0,37.32,31,200.0,0.872,15,4620.0
Steady Middle,34,4780.0,0.116,0.454,9.4,60.35,37,2480.0,0.345,32,4560.0
Steady Middle,35,7420.0,0.126,0.394,4.9,43.71,27,16140.0,0.114,5,7110.0
Credit-Reliant Household,32,3490.0,0.037,0.417,7.4,52.95,33,70.0,0.967,30,3530.0
Steady Middle,27,5770.0,0.097,0.314,10.9,61.51,28,3550.0,0.255,13,5060.0
Steady Middle,40,5620.0,0.065,0.308,6.1,59.61,39,7360.0,0.278,46,5040.0
High-Income Investor,46,17450.0,0.354,0.517,7.5,91.21,19,57000.0,0.028,33,12280.0
Steady Middle,37,5940.0,0.086,0.383,9.2,71.64,25,2650.0,0.243,25,6080.0
Young Digital Spender,24,2830.0,0.064,0.613,21.9,35.56,38,70.0,0.372,14,2520.0
Young Digital Spender,23,3260.0,0.063,0.708,23.1,5.0,33,70.0,0.453,43,3130.0
High-Income Investor,54,16860.0,0.345,0.348,8.2,110.73,7,88640.0,0.039,5,9800.0
Budget-Conscious Saver,31,5290.0,0.31,0.217,8.5,68.8,23,3630.0,0.113,22,4040.0
Steady Middle,34,7720.0,0.179,0.401,10.1,51.21,29,15960.0,0.133,25,7020.0
Young Digital Spender,27,3440.0,-0.021,0.642,26.5,39.12,58,10.0,0.498,39,3580.0
Budget-Conscious Saver,28,5220.0,0.368,0.148,5.0,54.31,21,890.0,0.152,44,2990.0
Steady Middle,34,4740.0,0.105,0.314,6.2,63.51,37,9710.0,0.332,25,4300.0
High-Income Investor,44,13650.0,0.266,0.41,6.7,134.84,15,87520.0,0.0,32,10050.0
High-Income Investor,45,8880.0,0.254,0.413,5.6,208.56,22,55160.0,0.038,25,6480.0
Credit-Reliant Household,45,3140.0,0.058,0.448,10.3,37.99,32,120.0,0.52,45,2810.0
Steady Middle,47,5410.0,0.133,0.271,10.1,82.25,27,6090.0,0.186,14,5210.0
Steady Middle,35,7600.0,0.166,0.357,10.3,19.24,28,13570.0,0.368,24,6940.0
Budget-Conscious Saver,32,3160.0,0.223,0.24,7.9,23.59,21,1310.0,0.075,12,2820.0
Young Digital Spender,20,2710.0,-0.032,0.411,18.9,24.34,60,410.0,0.549,51,3120.0
Budget-Conscious Saver,32,6020.0,0.301,0.157,8.9,70.56,34,5630.0,0.123,12,4310.0
Steady Middle,27,7200.0,0.034,0.321,6.3,35.91,32,9970.0,0.169,17,7300.0
Credit-Reliant Household,44,4360.0,-0.001,0.496,12.9,38.35,30,300.0,0.717,57,4790.0
Young Digital Spender,20,2750.0,0.05,0.446,24.3,11.45,53,320.0,0.489,49,2380.0
Credit-Reliant Household,42,3240.0,-0.05,0.399,12.8,33.4,45,130.0,0.79,36,3410.0
High-Income Investor,38,9880.0,0.402,0.313,5.9,77.66,25,63340.0,0.084,49,5860.0
Credit-Reliant Household,52,4680.0,0.026,0.429,6.1,22.46,40,0.0,0.741,33,4550.0
Young Digital Spender,23,3280.0,-0.037,0.658,26.5,10.69,57,450.0,0.226,1,3370.0
Steady Middle,33,5140.0,0.158,0.25,9.2,69.24,31,9400.0,0.253,12,4950.0
Young Digital Spender,26,2230.0,0.024,0.726,24.0,36.8,53,270.0,0.19,47,2130.0
Budget-Conscious Saver,35,4340.0,0.339,0.272,7.6,69.3,22,3100.0,0.21,2,3050.0
Budget-Conscious Saver,26,5300.0,0.277,0.2,4.8,41.82,17,1810.0,0.144,29,4240.0
Steady Middle,29,7220.0,0.102,0.364,7.0,69.69,25,2400.0,0.267,17,5900.0
Steady Middle,48,5080.0,0.204,0.376,6.5,37.74,25,7400.0,0.381,30,3850.0
Budget-Conscious Saver,28,4600.0,0.193,0.183,5.3,73.4,20,690.0,0.067,56,3290.0
Credit-Reliant Household,35,2590.0,0.0,0.43,6.8,34.74,36,30.0,0.815,43,2680.0
Young Digital Spender,20,4430.0,0.025,0.564,28.0,57.11,45,250.0,0.398,33,4110.0
Steady Middle,29,4570.0,0.071,0.377,6.3,67.97,27,4670.0,0.229,3,3930.0
Credit-Reliant Household,37,4650.0,-0.063,0.302,15.6,34.84,40,10.0,0.639,45,4820.0
Young Digital Spender,24,3710.0,0.064,0.575,27.5,15.47,40,260.0,0.45,57,3910.0
Steady Middle,29,4100.0,0.1,0.267,11.4,94.75,16,7370.0,0.185,26,3690.0
Credit-Reliant Household,47,3070.0,-0.009,0.36,11.5,52.9,32,440.0,0.633,27,2930.0
High-Income Investor,47,16610.0,0.193,0.343,3.2,195.17,20,33580.0,0.11,1,11980.0
Credit-Reliant Household,44,2500.0,0.03,0.436,10.8,36.79,27,270.0,0.753,41,2230.0
Young Digital Spender,22,2640.0,0.068,0.492,30.6,54.62,64,340.0,0.533,40,2120.0
High-Income Investor,51,8550.0,0.194,0.416,4.9,167.14,24,26990.0,0.166,53,6160.0
Budget-Conscious Saver,33,3430.0,0.221,0.212,6.4,59.34,27,3140.0,0.246,7,3050.0
Steady Middle,36,5400.0,0.171,0.313,10.9,80.4,17,8270.0,0.21,29,3900.0
Credit-Reliant Household,50,2680.0,-0.06,0.412,10.0,46.21,21,320.0,0.868,10,2890.0
Young Digital Spender,23,2910.0,0.061,0.668,23.2,45.67,42,360.0,0.393,58,2500.0
High-Income Investor,45,9240.0,0.346,0.315,3.0,116.67,28,125300.0,0.119,8,6570.0
Steady Middle,31,5010.0,0.174,0.31,10.0,44.19,20,3480.0,0.267,37,4330.0
High-Income Investor,54,9510.0,0.312,0.319,3.4,159.88,13,23450.0,0.05,2,6570.0
Budget-Conscious Saver,34,6230.0,0.261,0.233,7.3,64.06,32,3110.0,0.176,10,5030.0
Credit-Reliant Household,44,2780.0,-0.018,0.406,12.2,33.1,21,250.0,0.657,58,2710.0
High-Income Investor,45,10020.0,0.22,0.424,9.9,186.69,10,128900.0,0.149,55,6970.0
Budget-Conscious Saver,32,5100.0,0.244,0.082,5.0,67.93,24,6170.0,0.078,8,4150.0
Credit-Reliant Household,40,4830.0,0.028,0.521,4.5,8.62,25,250.0,0.688,23,5300.0
Credit-Reliant Household,51,2520.0,-0.05,0.422,6.6,29.21,45,30.0,0.73,24,2470.0
Steady Middle,48,6800.0,0.135,0.36,10.4,76.48,20,4140.0,0.456,44,5140.0
Young Digital Spender,23,3340.0,0.026,0.561,15.4,62.65,42,500.0,0.294,35,2930.0
Credit-Reliant Household,40,3030.0,0.017,0.383,11.7,34.92,25,40.0,0.82,41,2820.0
Steady Middle,34,6650.0,0.128,0.302,9.1,54.27,29,1880.0,0.302,7,6540.0
Steady Middle,41,4090.0,0.097,0.398,7.4,66.13,23,8460.0,0.182,46,3300.0
Budget-Conscious Saver,28,4740.0,0.303,0.259,9.8,51.89,21,3900.0,0.226,7,3250.0
Young Digital Spender,24,4120.0,0.034,0.444,19.3,33.27,53,30.0,0.39,53,4280.0
High-Income Investor,45,14430.0,0.346,0.401,8.4,179.56,15,33150.0,0.04,38,9460.0
High-Income Investor,44,17160.0,0.196,0.223,3.2,169.33,23,102000.0,0.093,42,14720.0
Budget-Conscious Saver,34,3800.0,0.228,0.22,3.9,72.23,22,3000.0,0.147,12,2690.0
Steady Middle,26,4650.0,0.095,0.382,10.9,81.16,36,3630.0,0.301,47,4240.0
Steady Middle,48,7390.0,0.13,0.388,8.3,83.66,29,4100.0,0.182,28,6020.0
Steady Middle,32,7180.0,0.139,0.267,8.9,90.64,21,5470.0,0.275,5,6230.0
Young Digital Spender,21,3240.0,0.056,0.695,15.8,24.33,40,1370.0,0.521,47,3020.0
High-Income Investor,40,15490.0,0.3,0.292,6.1,69.59,18,49410.0,0.069,5,11950.0
Credit-Reliant Household,41,2870.0,0.043,0.341,10.0,27.21,36,50.0,0.86,1,2960.0
Budget-Conscious Saver,28,4840.0,0.324,0.395,7.4,46.83,37,5320.0,0.066,21,3010.0
Steady Middle,48,5030.0,0.126,0.264,10.9,66.05,39,12370.0,0.248,39,3740.0
Young Digital Spender,26,3860.0,0.01,0.546,11.5,47.71,42,680.0,0.368,54,4370.0
High-Income Investor,37,13700.0,0.358,0.275,2.9,89.93,14,45750.0,0.104,46,9730.0
High-Income Investor,49,17720.0,0.316,0.287,8.7,73.53,22,71550.0,0.002,55,12400.0
Steady Middle,45,7170.0,0.2,0.455,7.3,60.86,40,2090.0,0.307,13,5520.0
Credit-Reliant Household,44,4960.0,-0.007,0.375,10.7,23.47,33,280.0,0.752,3,5060.0
Young Digital Spender,25,3350.0,0.062,0.691,23.2,31.41,56,900.0,0.14,18,2700.0
Credit-Reliant Household,38,3270.0,-0.001,0.3,12.7,30.95,37,150.0,0.973,51,2890.0
Steady Middle,41,5230.0,0.087,0.415,10.2,52.8,25,5620.0,0.389,18,4720.0
High-Income Investor,37,10260.0,0.382,0.387,5.4,61.93,32,69510.0,0.082,38,7070.0
Steady Middle,34,6990.0,0.198,0.25,14.8,79.2,39,13510.0,0.334,6,5860.0
Steady Middle,43,6660.0,0.191,0.407,3.5,98.59,29,5470.0,0.173,53,4990.0
Credit-Reliant Household,54,4410.0,-0.1,0.492,9.9,37.26,25,30.0,0.78,1,5270.0
Young Digital Spender,20,4030.0,0.029,0.712,19.0,28.29,45,160.0,0.437,15,4460.0
Steady Middle,34,6940.0,0.146,0.3,9.0,67.97,27,6570.0,0.259,59,5800.0
